,,Cost,,,,,Prod,,,,,
E,N,M,D,H,Z,N,M,D,H,Z,N,E
Mina de Metal,1,80,20,-,-,-,56,-,-,-,-,-31
,2,120,30,-,-,-,141,-,-,-,-,-77
,3,180,45,-,-,-,267,-,-,-,-,-145
,4,270,68,-,-,-,448,-,-,-,-,-243
,5,405,101,-,-,-,706,-,-,-,-,-381
,6,608,152,-,-,-,957,-,-,-,-,-515
,7,911,228,-,-,-,1.262,-,-,-,-,-677
,8,1.367,342,-,-,-,1.629,-,-,-,-,-872
,9,2.05,513,-,-,-,2.071,-,-,-,-,-1.106
,10,3.075,769,-,-,-,2.601,-,-,-,-,-1.385
,11,4.613,1.153,-,-,-,3.232,-,-,-,-,-1.717
,12,6.92,1.73,-,-,-,3.985,-,-,-,-,-2.111
,13,10.38,2.595,-,-,-,4.878,-,-,-,-,-2.577
,14,15.57,3.892,-,-,-,5.936,-,-,-,-,-3.127
,15,23.354,5.839,-,-,-,7.187,-,-,-,-,-3.776
,16,35.032,8.758,-,-,-,8.663,-,-,-,-,-4.54
,17,52.547,13.137,-,-,-,10.401,-,-,-,-,-5.436
,18,78.821,19.705,-,-,-,12.444,-,-,-,-,-6.487
,19,118.231,29.558,-,-,-,14.843,-,-,-,-,-7.717
,20,177.347,44.337,-,-,-,17.655,-,-,-,-,-9.154
,21,266.021,66.505,-,-,-,20.948,-,-,-,-,-10.833
,22,399.031,99.758,-,-,-,24.799,-,-,-,-,-12.79
,23,598.546,149.637,-,-,-,29.296,-,-,-,-,-15.07
,24,897.819,224.455,-,-,-,34.544,-,-,-,-,-17.722
,25,1.347.000,336.682,-,-,-,40.661,-,-,-,-,-20.805
,26,2.021.000,505.023,-,-,-,47.785,-,-,-,-,-24.385
,27,3.031.000,757.535,-,-,-,56.074,-,-,-,-,-28.538
,28,4.546.000,1.137.000,-,-,-,65.71,-,-,-,-,-33.354
,29,6.818.000,1.705.000,-,-,-,76.904,-,-,-,-,-38.933
,30,10.227.000,2.557.000,-,-,-,89.899,-,-,-,-,-45.39
,31,15.341.000,3.836.000,-,-,-,104.972,-,-,-,-,-52.86
,32,23.011.000,5.753.000,-,-,-,122.444,-,-,-,-,-61.495
,33,34.516.000,8.629.000,-,-,-,142.686,-,-,-,-,-71.47
,34,51.773.000,12.944.000,-,-,-,166.121,-,-,-,-,-82.988
,35,77.660.000,19.415.000,-,-,-,193.238,-,-,-,-,-96.278
,36,"116,500.000",29.123.000,-,-,-,224.597,-,-,-,-,-111.605
,37,"174,700.000",43.684.000,-,-,-,260.845,-,-,-,-,-129.273
,38,"262,100.000",65.525.000,-,-,-,302.721,-,-,-,-,-149.628
,39,"393,100.000",98.288.000,-,-,-,351.077,-,-,-,-,-173.069
,40,"589,700.000","147,400.000",-,-,-,406.889,-,-,-,-,-200.05
,41,"884,600.000","221,100.000",-,-,-,471.279,-,-,-,-,-231.092
,42,"1.326,900.000","331,700.000",-,-,-,545.534,-,-,-,-,-266.793
,43,"1.990,300.000","497,600.000",-,-,-,631.131,-,-,-,-,-307.835
,44,"2.985,500.000","746,400.000",-,-,-,729.764,-,-,-,-,-354.998
,45,"4.478,200.000","1.119,600.000",-,-,-,843.374,-,-,-,-,-409.176
Mina de Diamantes,1,60,30,-,-,-,-,28,-,-,-,-25
,2,90,45,-,-,-,-,71,-,-,-,-63
,3,135,68,-,-,-,-,133,-,-,-,-119
,4,203,101,-,-,-,-,224,-,-,-,-199
,5,304,152,-,-,-,-,353,-,-,-,-312
,6,456,228,-,-,-,-,478,-,-,-,-421
,7,683,342,-,-,-,-,631,-,-,-,-554
,8,1.025,513,-,-,-,-,815,-,-,-,-714
,9,1.538,769,-,-,-,-,1.036,-,-,-,-905
,10,2.307,1.153,-,-,-,-,1.3,-,-,-,-1.133
,11,3.46,1.73,-,-,-,-,1.616,-,-,-,-1.405
,12,5.19,2.595,-,-,-,-,1.992,-,-,-,-1.727
,13,7.785,3.892,-,-,-,-,2.439,-,-,-,-2.108
,14,11.677,5.839,-,-,-,-,2.968,-,-,-,-2.559
,15,17.516,8.758,-,-,-,-,3.593,-,-,-,-3.09
,16,26.274,13.137,-,-,-,-,4.331,-,-,-,-3.714
,17,39.41,19.705,-,-,-,-,5.2,-,-,-,-4.448
,18,59.116,29.558,-,-,-,-,6.222,-,-,-,-5.307
,19,88.674,44.337,-,-,-,-,7.422,-,-,-,-6.314
,20,133.01,66.505,-,-,-,-,8.828,-,-,-,-7.49
,21,199.515,99.758,-,-,-,-,10.474,-,-,-,-8.863
,22,299.273,149.637,-,-,-,-,12.399,-,-,-,-10.465
,23,448.91,224.455,-,-,-,-,14.648,-,-,-,-12.33
,24,673.364,336.682,-,-,-,-,17.272,-,-,-,-14.5
,25,1.011.000,505.023,-,-,-,-,20.331,-,-,-,-17.022
,26,1.516.000,757.535,-,-,-,-,23.892,-,-,-,-19.951
,27,2.273.000,1.137.000,-,-,-,-,28.037,-,-,-,-23.35
,28,3.409.000,1.705.000,-,-,-,-,32.855,-,-,-,-27.29
,29,5.114.000,2.557.000,-,-,-,-,38.452,-,-,-,-31.854
,30,7.671.000,3.836.000,-,-,-,-,44.949,-,-,-,-37.137
,31,11.506.000,5.753.000,-,-,-,-,52.486,-,-,-,-43.249
,32,17.258.000,8.629.000,-,-,-,-,61.222,-,-,-,-50.314
,33,25.887.000,12.944.000,-,-,-,-,71.343,-,-,-,-58.476
,34,38.830.000,19.415.000,-,-,-,-,83.06,-,-,-,-67.899
,35,58.245.000,29.123.000,-,-,-,-,96.619,-,-,-,-78.773
,36,87.367.000,43.684.000,-,-,-,-,112.299,-,-,-,-91.313
,37,"131,000.000",65.525.000,-,-,-,-,130.422,-,-,-,-105.769
,38,"196,600.000",98.288.000,-,-,-,-,151.36,-,-,-,-122.423
,39,"294,900.000","147,400.000",-,-,-,-,175.538,-,-,-,-141.602
,40,"442,300.000","221,100.000",-,-,-,-,203.444,-,-,-,-163.677
,41,"663,400.000","331,700.000",-,-,-,-,235.639,-,-,-,-189.076
,42,"995,200.000","497,600.000",-,-,-,-,272.767,-,-,-,-218.285
,43,"1.492,700.000","746,400.000",-,-,-,-,315.566,-,-,-,-251.865
